gene_id,gene_symbol,logFC,logCPM,PValue,FDR,is_simulated_true_de
ENSGDEMO000001,GENE0001,1.1432460061695071,9.408110609743908,0.03624304233519188,0.4064640261890678,True
ENSGDEMO000002,GENE0002,1.0776654287446021,11.669775406962861,0.029080236294196635,0.3496569338236012,True
ENSGDEMO000003,GENE0003,2.148739279366721,10.870164215327382,2.3204482005627967e-05,0.0023204482005627965,True
ENSGDEMO000004,GENE0004,1.9750285595410304,8.805515028133222,0.0005089430422072614,0.02642216239865856,True
ENSGDEMO000005,GENE0005,1.3394011592416293,10.457961368064932,0.009530143240953326,0.17594110598683066,True
ENSGDEMO000006,GENE0006,1.2517116412019842,8.814920303955892,0.027490886187580704,0.34725329921154574,True
ENSGDEMO000007,GENE0007,1.1250596093809433,10.480047643605936,0.02927891262495822,0.3496569338236012,True
ENSGDEMO000008,GENE0008,0.6746622052653652,9.788885880736219,0.20648814212320896,0.8287149516650527,True
ENSGDEMO000009,GENE0009,0.9596939214346865,8.996292964586573,0.08692964772839405,0.6029802154570686,True
ENSGDEMO000010,GENE0010,1.928963801183735,11.619981192077836,9.605264138141913e-05,0.006403509425427942,True
ENSGDEMO000011,GENE0011,0.925189341413633,9.76170682258066,0.08366462371688835,0.5905738144721531,True
ENSGDEMO000012,GENE0012,0.5991544508767515,10.935108289992666,0.23683582185756996,0.8592195536316126,True
ENSGDEMO000013,GENE0013,0.8140610628869833,11.60755572066888,0.09989011862947832,0.6550171713408414,True
ENSGDEMO000014,GENE0014,2.144015482375413,9.93611525415627,5.203934388309438e-05,0.003978178784989855,True
ENSGDEMO000015,GENE0015,1.816221350776682,8.754574189000346,0.0014489985938715287,0.047792775738498584,True
ENSGDEMO000016,GENE0016,0.6301417089003465,9.98848561901592,0.23307998979201738,0.8553394120807977,True
ENSGDEMO000017,GENE0017,1.4919738626714363,10.405617417088667,0.003965053321476417,0.09904926383231075,True
ENSGDEMO000018,GENE0018,0.5339263888148329,10.18640201876628,0.30752537937476776,0.9129927233338216,True
ENSGDEMO000019,GENE0019,1.0019547504501638,8.7133731340535,0.07984357018970029,0.5855697386153361,True
ENSGDEMO000020,GENE0020,2.661625303380352,11.326403325282644,9.802339592460393e-08,1.68040107299321e-05,True
ENSGDEMO000021,GENE0021,1.5992782007911615,12.125193691039645,0.0010335992992040997,0.03875997372015374,True
ENSGDEMO000022,GENE0022,0.9938490024810838,9.444396486045768,0.06807171682948732,0.5515205459100347,True
ENSGDEMO000023,GENE0023,2.1785731299881768,10.355778187957178,2.7031459799367193e-05,0.0024952116737877407,True
ENSGDEMO000024,GENE0024,1.376815809480287,9.669656972577513,0.0104361111816288,0.18974747602961456,True
