,gene_symbol,length,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
ENSGDEMO000001,GENE0001,1333,39,68,121,155,258,134
ENSGDEMO000002,GENE0002,4049,256,541,358,918,690,1249
ENSGDEMO000003,GENE0003,2754,177,51,119,722,716,456
ENSGDEMO000004,GENE0004,559,41,39,15,208,60,230
ENSGDEMO000005,GENE0005,643,118,235,87,507,312,502
ENSGDEMO000006,GENE0006,4456,71,41,23,79,141,166
ENSGDEMO000007,GENE0007,769,60,243,201,396,383,449
ENSGDEMO000008,GENE0008,729,125,177,64,193,231,245
ENSGDEMO000009,GENE0009,6509,39,120,36,142,87,216
ENSGDEMO000010,GENE0010,1020,380,86,187,1574,853,855
ENSGDEMO000011,GENE0011,4066,84,154,88,148,274,257
ENSGDEMO000012,GENE0012,1756,294,175,332,281,679,385
ENSGDEMO000013,GENE0013,2362,440,420,332,1154,790,583
ENSGDEMO000014,GENE0014,1551,34,113,57,645,243,198
ENSGDEMO000015,GENE0015,4100,24,41,38,76,124,222
ENSGDEMO000016,GENE0016,6770,154,146,119,174,196,412
ENSGDEMO000017,GENE0017,2070,50,170,176,449,493,276
ENSGDEMO000018,GENE0018,5957,195,89,203,447,126,371
ENSGDEMO000019,GENE0019,889,19,81,57,187,64,130
ENSGDEMO000020,GENE0020,662,151,70,143,1827,468,827
ENSGDEMO000021,GENE0021,4532,100,779,410,2221,703,1702
ENSGDEMO000022,GENE0022,7310,96,56,87,179,247,124
ENSGDEMO000023,GENE0023,4815,85,108,62,567,441,361
ENSGDEMO000024,GENE0024,2452,109,60,63,252,182,331
ENSGDEMO000025,GENE0025,3519,66,88,109,309,159,270
ENSGDEMO000026,GENE0026,3109,123,138,52,312,341,369
ENSGDEMO000027,GENE0027,4964,249,164,233,1607,1649,2212
ENSGDEMO000028,GENE0028,6240,22,34,20,35,63,141
ENSGDEMO000029,GENE0029,7580,160,223,237,1466,401,774
ENSGDEMO000030,GENE0030,5657,58,174,47,378,248,272
ENSGDEMO000031,GENE0031,3349,25,23,12,84,55,124
ENSGDEMO000032,GENE0032,7167,109,172,68,679,240,489
ENSGDEMO000033,GENE0033,1625,92,114,162,246,205,541
ENSGDEMO000034,GENE0034,3625,110,126,68,602,389,246
ENSGDEMO000035,GENE0035,7422,64,50,77,388,104,272
